image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
3507670136,yellow,yellow uniform,yellow,a yellow uniform,Entailment2,2
3507724518,picture man,portrait bald man,a picture of a man,a portrait of a bald man,Independence,4
3507724518,outdoor mural,wall,an outdoor mural,This wall,Independence,4
3508389675,large blue ball,large green ball,a large blue ball,a large green ball,Alternation,0
3508637029,softball player,two women,A softball player,Two women,Alternation,0
3508637029,two female baseball players,two women,Two female baseball players,Two women,Entailment1,1
3509224574,young black boy,young man,A young black boy,A young man,Alternation,0
3509224574,chunk meat,meat,A chunk of meat,meat,Entailment1,1
3509224574,rural home,window shop,a rural home,the window of a shop,Alternation,0
3509611207,headscarfs,headscarves,headscarfs,headscarves,Equivalence,3
3509611207,street,unpaved surface,the street,unpaved surface,Independence,4
3509611207,three women,young group girls,Three women,a young group of girls,Alternation,0
3509682519,balloons,four blue balloons,balloons,four blue balloons,Entailment2,2
3509711173,contestant,man,A contestant,A man,Independence,4
3510402371,cafe,italian cafe,a cafe,an Italian cafe,Entailment2,2
3510622771,puzzle,toys,a puzzle,toys,Entailment1,1
3510622771,lego pieces,puzzle,Lego pieces,a puzzle,Alternation,0
3510622771,legos,puzzle,Legos,a puzzle,Independence,4
3510695264,hard-hats,white hard hats,hard-hats,white hard hats,Entailment2,2
3510970803,five men,group construction workers,Five men,A group of construction workers,Independence,4
3511062827,purple object,purple toy,a purple object,a purple toy,Entailment2,2
3511062827,purple fabric,something,purple fabric,something,Entailment1,1
3511660143,one year old child,toddler,A one year old child,a toddler,Alternation,0
3511660143,brother,young girl,his brother,A young girl,Alternation,0
3511660143,another child,toddler,another child,A toddler,Alternation,0
3511890331,blue gallops,gallop,blue gallops,a gallop,Entailment1,1
3511890331,brown horse,chestnut horse,a brown horse,a chestnut horse,Entailment2,2
3512003488,5 people,five people,5 people,Five people,Equivalence,3
3512166877,little girl,pretty little girl,A little girl,The pretty little girl,Entailment2,2
3512166877,pretty little girl,white child,The pretty little girl,A white child,Independence,4
3512166877,pretty little girl,young girl,The pretty little girl,A young girl,Independence,4
3513265399,child,runner,A child,A runner,Independence,4
3513318675,kitchen,large kitchen,a kitchen,a large kitchen,Entailment2,2
3513318675,cramped kitchen,large kitchen,a cramped kitchen,a large kitchen,Alternation,0
3514019869,hurdle,two white purple stiped poles,hurdle,two white and purple stiped poles,Independence,4
3514044432,children,dancers,children,Dancers,Independence,4
3514052896,four girls,young girls,Four girls,Young girls,Independence,4
3514055630,boys,four young men,Boys,Four young men,Alternation,0
3514055630,library,library school room,a library,a library or school room,Entailment1,1
3514055630,boys,four men,Boys,Four men,Alternation,0
3514188115,train track,train tracks,the train track,train tracks,Equivalence,3
3514188115,hand,hands,"hand</font> in <font color=""red"">hand",hands,Entailment1,1
3514188115,railroad track,train tracks,a railroad track,train tracks,Independence,4
3514194772,brown dog,panting brown dog,A brown dog,A panting brown dog,Entailment2,2
3514281858,class students,some children,a class of students,some children,Independence,4
3514281858,class students,group children,a class of students,a group of children,Independence,4
3514297698,black gray dog,spotted dog,a black and gray dog,A spotted dog,Independence,4
3514603772,bright yellow suits,yellow overalls,bright yellow suits,yellow overalls,Independence,4
3514603772,jackhammer,yellow black machine,a jackhammer,a yellow and black machine,Independence,4
3514685438,huge donation,sized check,a huge donation,an over sized check,Independence,4
3514685438,check,sized check,a check,an over sized check,Entailment2,2
3514807842,fence,stick fence,fence,a stick fence,Entailment2,2
3514807842,bathing suits,swim trunks,bathing suits,swim trunks,Entailment2,2
3514807842,two men,two young shirtless men,Two men,Two young shirtless men,Entailment2,2
3515378674,bottle,small glass bottle,the bottle,a small glass bottle,Entailment2,2
3515378674,alcoholic beverage,bottle amber liquid,an alcoholic beverage,a bottle of amber liquid,Independence,4
3516285214,barrel wave,large wave,the barrel of a wave,The large wave,Entailment1,1
3516285214,curl wave,falling water,the curl of a wave,the falling water,Independence,4
3516299821,baseball player,softball player,A baseball player,A softball player,Alternation,0
3516312179,other players,three people,other players,three people,Independence,4
3516653997,dressed man,fellow,dressed man,The fellow,Entailment1,1
3516677529,crying child,young boy,A crying child,A young boy,Independence,4
3516677529,small child,young colored boy,Small child,A young colored boy,Independence,4
3516710738,javelin,pole,a javelin,a pole,Entailment1,1
3516710738,large pole,stick,a large pole,a stick,Alternation,0
3516710738,javelin,large pole,a javelin,a large pole,Entailment1,1
3516825206,gray rocks,stones,gray rocks,stones,Entailment1,1
3516825206,barefoot man,boy,a barefoot man,the boy,Alternation,0
3516960094,air,long distance,the air,a long distance,Alternation,0
3517124784,female,female batter,A female,A female batter,Entailment2,2
3517124784,female,female softball player,A female,A female softball player,Entailment2,2
3517124784,baseball uniform,white brown uniform,a baseball uniform,a white and brown uniform,Independence,4
3517124784,another player,female,another player,A female,Independence,4
3517127930,boy,one members,A boy,One of the members,Independence,4
3517201125,body,upper body,her body,her upper body,Entailment2,2
3517466790,bunchh people,crowd people,A bunchh of people,Crowd of people,Equivalence,3
3518118675,public steps,some stairs,public steps,some stairs,Entailment1,1
3518118675,public steps,set stairs,public steps,a set of stairs,Entailment1,1
3518126579,steps,stone stairway,steps,a stone stairway,Entailment2,2
3518126579,long outdoor stairway,steps,a long outdoor stairway,the steps,Entailment1,1
3518126579,tiny bike,unicycle,the tiny bike,a unicycle,Alternation,0
3518334317,outdoor market,rural shopping area,an outdoor market,a rural shopping area,Independence,4
3518365400,handful sand,sand,a handful of sand,sand,Entailment1,1
3518755601,three girls,three young woman,Three girls,three young woman,Alternation,0
3519155763,toy,toy close,a toy,a toy close,Entailment2,2
3519233693,backwards baseball cap,old man hat,backwards baseball cap,old man hat,Independence,4
3519815055,structure,wooden board,a structure,a wooden board,Entailment2,2
3519942322,golden dog,rather large blond dog,A golden dog,A rather large blond dog,Entailment2,2
3519942322,golden dog,large brown dog,A golden dog,Large brown dog,Alternation,0
3519942322,blue yellow toy,dog toy,a blue and yellow toy,a dog toy,Independence,4
3519942322,rather large blond dog,tan dog,A rather large blond dog,The tan dog,Entailment1,1
3520050692,man,"young , well-dressed black man",A man,"A young , well-dressed black man",Entailment2,2
3520241606,ball,bowl,a ball,the bowl,Alternation,0
3520617304,another soldier,one military man,another soldier,One military man,Independence,4
3520617304,another soldier,similarly dressed man,another soldier,a similarly dressed man,Independence,4
3520869880,jukebox mural,jukebox painting,a jukebox mural,jukebox painting,Entailment1,1
3520869880,jukebox mural,mural,a jukebox mural,a mural,Entailment1,1
3521201948,all dogs,five muzzled greyhounds,all the dogs,Five muzzled greyhounds,Entailment2,2
3521374954,big drum,bongo drum,a big drum,a bongo drum,Independence,4
3522000960,ocean,wave tunnel,the ocean,a wave tunnel,Independence,4
3522025527,aerobatics,plane,aerobatics,a plane,Alternation,0
3522349685,child,smiling girl,A child,A smiling girl,Entailment2,2
3522349685,animal,furry animal,an animal,a furry animal,Entailment2,2
3522749949,david beckham player,player,David Beckham player,The player,Entailment1,1
3522749949,david beckham player,soccer player,David Beckham player,a soccer player,Entailment1,1
3522749949,black red jersey,black red striped uniform,a black and red jersey,black and red striped uniform,Independence,4
3523851105,paper,paper square,paper,a paper square,Entailment2,2
3524519277,two policemen,two uniformed law enforcment officers,Two policemen,Two uniformed law enforcment officers,Entailment2,2
3524519277,two men,two uniformed law enforcment officers,Two men,Two uniformed law enforcment officers,Independence,4
3524519277,two guards,two policemen,two guards,Two policemen,Independence,4
3524612244,flat screen tv,tv,a flat screen tv,tv,Entailment1,1
3524671328,bail hey,grass bales,a bail of hey,grass bales,Alternation,0
3524816739,counter,glass case,a counter,a glass case,Independence,4
3525041739,group men,travelers,A group of men,Travelers,Independence,4
3525074413,large mountain,massive mountain,a large mountain,a massive mountain,Equivalence,3
3525074413,mountain,some tough terrain,the mountain,some tough terrain,Independence,4
3525074413,large mountain,some tough terrain,a large mountain,some tough terrain,Entailment1,1
3525332706,grassy lawn,snow covered grass,a grassy lawn,snow covered grass,Independence,4
3525332706,light coat snow,snow covered grass,a light coat of snow,snow covered grass,Independence,4
3525417522,daschund,small dog,A daschund,A small dog,Entailment1,1
3525514625,bicycle,fixed gear bike,a bicycle,a fixed gear bike,Entailment2,2
3525568835,ladybug,large animal,a ladybug,large animal,Alternation,0
3525841965,two smiling girls,two young children,Two smiling girls,two young children,Independence,4
3525890754,cobbled sidewalk,street,a cobbled sidewalk,the street,Alternation,0
3525890754,small dog,small puppy,a small dog,a small puppy,Entailment2,2
3526461098,orange dress,peach-colored dress,an orange dress,a peach-colored dress,Alternation,0
3526461098,some water,waterfront,some water,a waterfront,Entailment2,2
3526558931,potato,potato chip,a potato,a potato chip,Entailment2,2
3526558931,fat man,old man,A fat man,Old man,Independence,4
3527069255,man,puzzled construction worker,A man,A puzzled construction worker,Independence,4
3527325633,one boxer,opponent,one boxer,his opponent,Independence,4
3527325633,two boxers,two male ufc fighters,Two boxers,Two male UFC fighters,Independence,4
3527373216,appetizer,piece bread,appetizer,a piece of bread,Independence,4
3527407036,aerial view group,aerial view large group people,An aerial view of a group,An aerial view of a large group of people,Entailment2,2
3527715826,hot pink pants,pink pants,hot pink pants,pink pants,Entailment1,1
3528105511,dirt bike,green bike,a dirt bike,a green bike,Independence,4
3528251308,bench,edge wooden bench,a bench,the edge of a wooden bench,Entailment2,2
3528902357,boy,closeup man,A boy,A closeup of a man,Alternation,0
3528902357,bicyclist,closeup man,A bicyclist,A closeup of a man,Independence,4
3528966521,highway,rural road,a highway,a rural road,Entailment2,2
3528966521,marathon runners,people,Marathon runners,People,Entailment1,1
3529211822,bench,deck,the bench,off a deck,Alternation,0
3529211822,larger dog,"tall , light brown dog",a larger dog,"A tall , light brown dog",Independence,4
3529721084,mask,skull mask,a mask,a skull mask,Entailment2,2
3530087422,"red , black white racing suit",red white suit,"a red , black and white racing suit",a red and white suit,Entailment1,1
3530342993,man,stunt cyclist,A man,A stunt cyclist,Independence,4
3530502404,clean motorcycle,motorcycle,a clean motorcycle,a motorcycle,Entailment1,1
3530687486,flower,milkweed,a flower,a milkweed,Entailment2,2
3531474185,items,ladder,items,a ladder,Alternation,0
3532098999,dogs,two dogs,Dogs,Two dogs,Entailment2,2
3532098999,some dogs,two dogs,Some dogs,Two dogs,Entailment2,2
3532192208,`` flickr `` badge,white name badge,""" Flickr "" badge",a white name badge,Independence,4
3532205154,brown hair woman \'s necklace,necklace,the brown hair woman \'s necklace,her necklace,Entailment1,1
3532205154,brown hair woman 's necklace,girls necklace,the brown hair woman 's necklace,a girls necklace,Alternation,0
3532412342,large truck tire,tire,a large truck tire,a tire,Entailment1,1
3532457245,edge dark,even hours night,the edge of dark,the even hours of night,Alternation,0
3532476966,potatoes,produce,potatoes,the produce,Entailment1,1
3532476966,goods,pile potatoes,his goods,a pile of potatoes,Entailment2,2
3532538536,happy man,spanish guy,A happy man,A Spanish guy,Independence,4
3532994535,little girls,three children,Little girls,Three children,Independence,4
3533394378,bungee-type carnival ride,circular metal ride,a bungee-type carnival ride,a circular metal ride,Independence,4
3533394378,amusement park ride,slingshot ride,an amusement park ride,a slingshot ride,Entailment2,2
3533394378,bungee-type carnival ride,metal ball,a bungee-type carnival ride,a metal ball,Independence,4
3533394378,amusement park ride,bungee-type carnival ride,an amusement park ride,a bungee-type carnival ride,Entailment2,2
3533452777,hat,shiny hat,hat,a shiny hat,Entailment2,2
3533452777,all silver outfit,shiny coat,an all silver outfit,a shiny coat,Independence,4
3533470072,one blond one brunette,two young women,one blond one brunette,Two young women,Independence,4
3533470072,two young girls,twp young ladies,Two young girls,Twp young ladies,Alternation,0
3533484468,girl,gray sweatshirt woman,girl,a gray sweatshirt woman,Alternation,0
3533577805,three people,three seniors,Three people,Three seniors,Entailment2,2
3533713163,people,variety people,People,A variety of people,Entailment2,2
3533922605,two teen girls,two young women,Two teen girls,Two young women,Alternation,0
3533922605,big city,view city,a big city,view of city,Alternation,0
3534172926,play wooden ship,playground apparatus,A play wooden ship,A playground apparatus,Independence,4
3534172926,pirate ship,playground ship,a pirate ship,the playground ship,Independence,4
3534183988,pirate hat,red headscarf,a pirate hat,a red headscarf,Independence,4
3534376990,art projects,arts crafts,art projects,arts and crafts,Equivalence,3
3534512991,yellow flower-bed,yellow flowers,a yellow flower-bed,the yellow flowers,Entailment1,1
3534512991,white yellow flowers,yellow flower-bed,white and yellow flowers,a yellow flower-bed,Alternation,0
3534548254,water balloon,wet sponge,a water balloon,a wet sponge,Alternation,0
3534592364,memorial primary school,primary school,Memorial Primary School,a primary school,Entailment1,1
3534668485,music posters,posters,music posters,posters,Entailment1,1
3534952095,moped,white red moped,her moped,her white and red moped,Entailment2,2
3535284878,beach,shore grainy beach,the beach,the shore of a grainy beach,Entailment2,2
3535304540,red bi-plane,red biplane,A red bi-plane,A red biplane,Equivalence,3
3535304540,trail smoke,white smoke,a trail of smoke,white smoke,Independence,4
3535304540,blue sky,sky,a blue sky,the sky,Entailment1,1
3535511987,item,rug,an item,a rug,Entailment2,2
3535511987,rug,something,a rug,something,Entailment1,1
3535511987,african woman,barefooted african american woman,An African woman,A barefooted African American woman,Entailment2,2
3535664885,goalie,hockey player,The goalie,A hockey player,Independence,4
3535664885,hockey goal-keeper,hockey goaltender,Hockey goal-keeper,Hockey goaltender,Equivalence,3
3535664885,hockey goal-keeper,hockey player,Hockey goal-keeper,A hockey player,Entailment1,1
3535768334,angled picture person,young man,An angled picture of a person,Young man,Independence,4
3537452619,rail,red rail,a rail,a red rail,Entailment2,2
3537520829,long rail,rail,a long rail,a rail,Entailment1,1
3538194939,blue apron,blue aprons,a blue apron,blue aprons,Entailment1,1
3538213870,flowery dress,pink green dress,a flowery dress,a pink and green dress,Independence,4
3538213870,green dress,pink green dress,green dress,a pink and green dress,Alternation,0
3538337538,large blue bus,tour bus,a large blue bus,A tour bus,Independence,4
3538337538,large blue bus,parked blue bus,a large blue bus,a parked blue bus,Independence,4
3538487621,couch,overstuffed chair,the couch,an overstuffed chair,Alternation,0
3538487621,overstuffed chair,plush chair,an overstuffed chair,a plush chair,Independence,4
3538719941,paper bags,plastic bag,paper bags,a plastic bag,Alternation,0
3538719941,piece,small white object,a piece,a small white object,Independence,4
3539447637,semi busy suburban town,street,a semi busy suburban town,the street,Alternation,0
3539552261,vineyards,winery,vineyards,a winery,Alternation,0
3539767254,canals,river,the canals,a river,Entailment1,1
3539767254,canal,canals,the canal,the canals,Equivalence,3
3539840291,opponent,player,his opponent,A player,Entailment1,1
3540515072,furry brown dog,gray dog,The furry brown dog,A gray dog,Alternation,0
3541162969,air bubbles,bubbles,the air bubbles,bubbles,Entailment1,1
3541716169,white blue,white top,white and blue,a white top,Alternation,0
3542145123,park table,picnic table,a park table,a picnic table,Independence,4
3542176488,two couples,two men,Two couples,two men,Independence,4
3542176488,open street,retail buildings,an open street,retail buildings,Alternation,0
3542341321,two brown black dogs,two brown dogs,two brown and black dogs,Two brown dogs,Alternation,0
3542484764,cricketer,man,The cricketer,The man,Independence,4
3543378438,person,pianist,A person,A pianist,Entailment2,2
3544233095,green bucket,pail,a green bucket,a pail,Entailment1,1
3544416931,group males,three boys,Group of males,three boys,Entailment2,2
3544416931,laughing older woman,women,A laughing older woman,women,Alternation,0
3544420941,another man,best friend,another man,his best friend,Independence,4
3544573946,patriotic outfit,red,a patriotic outfit,red,Alternation,0
3544573946,colourful outfit,red,a colourful outfit,red,Independence,4
3544673666,old soccer ball,toy,the old soccer ball,a toy,Entailment1,1
3544793763,boxer,two men,A boxer,Two men,Alternation,0
3545652636,another child,other boy,another child,other boy,Independence,4
3545652636,boy soccer player,young boy,A boy soccer player,A young boy,Independence,4
3545976616,group sidewalk acrobats,men,a group of sidewalk acrobats,Men,Independence,4
3545976616,group sidewalk acrobats,people,a group of sidewalk acrobats,people,Entailment1,1
3546027589,group people,six boys,A group of people,Six boys,Entailment2,2
3546342037,marriage ceremony,outdoor wedding,A marriage ceremony,an outdoor wedding,Entailment2,2
3546891929,bicycle helmet,red bicycle helmet,a bicycle helmet,a red bicycle helmet,Entailment2,2
3547313700,wooded fence,wooden fence,a wooded fence,a wooden fence,Equivalence,3
3547368652,some steps,three steps,some steps,three steps,Entailment2,2
3547600292,black bird,black yellow bird,A black bird,A black and yellow bird,Entailment2,2
3547600292,black orange bird,brown bird,A black and orange bird,A brown bird,Alternation,0
3547600292,grassy field,green grass,a grassy field,green grass,Independence,4
3547600292,bird,brown bird,A bird,A brown bird,Entailment2,2
3548191125,red outfit,red uniform,a red outfit,a red uniform,Entailment2,2
3548354827,children,several kids,children,several kids,Entailment2,2
3548354827,asian people,instructors,Asian people,instructors,Independence,4
3548356189,adults,other adults,Adults,other adults,Entailment2,2
3548358879,asian teen,young boy,An Asian teen,A young boy,Entailment1,1
3548358879,asian young boy,man,Asian young boy,A man,Alternation,0
3548358879,asian teen,man,An Asian teen,A man,Alternation,0
3548365737,gray red jacket,red white jacket,a gray and red jacket,a red and white jacket,Alternation,0
3549011001,three men,two people,Three men,two people,Alternation,0
3549140234,snowy ground,trick,snowy ground,a trick,Alternation,0
3549408493,crops,seeds,his crops,seeds,Alternation,0
3549408493,garden,yard,the garden,the yard,Independence,4
3549408779,some clear blue water,water,some clear blue water,water,Entailment1,1
3549408779,blue water,some clear blue water,blue water,some clear blue water,Entailment2,2
3550253365,ledge,low cement ledge,a ledge,low cement ledge,Entailment2,2
3550348169,mountainside,top hill,a mountainside,the top of a hill,Alternation,0
3550763985,skateboard jump,trick,a skateboard jump,a trick,Independence,4
3551092405,player,sports player,player,A sports player,Entailment2,2
3551170666,momma dog,white dog,The momma dog,A white dog,Independence,4
3551170666,golden female dog,white dog,Golden female dog,A white dog,Alternation,0
3551637285,3 girls,group women,3 girls,A group of women,Alternation,0
3551637285,3 girls,three women,3 girls,Three women,Alternation,0
3551637285,3 girls,three woman,3 girls,three woman,Alternation,0
3551698034,large brunette mom,woman,A large brunette mom,A woman,Entailment1,1
3551781969,cables,jumping apparatus,cables,jumping apparatus,Independence,4
3551787566,dirt hill,dirt trail,a dirt hill,a dirt trail,Independence,4
3551834525,dark tunnel,sewer entrance,a dark tunnel,a sewer entrance,Independence,4
3552136801,baseball player,one players,A baseball player,one of the players,Entailment1,1
3552491248,morning sun,sun,the morning sun,the sun,Entailment1,1
3552507374,safari guide,tour guide,her safari guide,A tour guide,Entailment1,1
3552507374,handler,man,the handler,a man,Independence,4
3552552910,elephants,trio elephants,elephants,A trio of elephants,Entailment2,2
3552552910,elephants,three elephants,elephants,Three elephants,Entailment2,2
3552934805,gymnast,muscular boy,A gymnast,A muscular boy,Independence,4
3553374585,banner advertisement,tent notice,banner advertisement,a tent notice,Independence,4
3553374585,colorful tent,fundraising tent,a colorful tent,a fundraising tent,Independence,4
3554210976,cliff \'s edge,snowy mountain,a cliff \'s edge,a snowy mountain,Independence,4
3554277535,swimming pool,water park,a swimming pool,the water park,Independence,4
3554391279,electrical pole,pole,an electrical pole,a pole,Entailment1,1
3554391279,safety equipment,straps,safety equipment,straps,Independence,4
3554444952,girl,unhappy woman,The girl,an unhappy woman,Alternation,0
3555086376,boys,brothers,boys,Brothers,Independence,4
3555231025,small white-skinned girl,young girl,A small white-skinned girl,A young girl,Independence,4
3555376013,heavy woman,older woman,A heavy woman,An older woman,Independence,4
3556037801,bike,one many bicycles,a bike,one of many bicycles,Entailment2,2
3556037801,bicycle store,cycling store,a bicycle store,a cycling store,Equivalence,3
3556039987,girl,young kid,A girl,Young kid,Independence,4
3556375808,bit wood,piece wood,a bit of wood,a piece of wood,Entailment1,1
3556485995,hockey,sport competition,hockey,a sport competition,Entailment1,1
3556485995,two cricket players,two men,Two cricket players,Two men,Independence,4
3556571710,picture three young men,three boys,a picture of three young men,Three boys,Alternation,0
3556571710,picture three young men,three smartly dressed man,a picture of three young men,Three smartly dressed man,Independence,4
3556571710,three boys,three smartly dressed man,Three boys,Three smartly dressed man,Alternation,0
3556702089,black jacket,winter coats,black jacket,winter coats,Independence,4
3556702089,black jacket,jackets,black jacket,jackets,Entailment1,1
3556702089,jackets,winter coats,jackets,winter coats,Alternation,0
3556702089,black jackets,winter coats,black jackets,winter coats,Independence,4
3557295488,lacross player,two men,A lacross player,Two men,Alternation,0
3557871242,friends,group friends,friends,A group of friends,Equivalence,3
3557871242,friends,group runners,friends,A group of runners,Independence,4
3558267192,blond cowboy,cowboy,A blond cowboy,A cowboy,Entailment1,1
3558267192,\'s rider,cowboy,it \'s rider,A cowboy,Independence,4
3558438174,checkered flags,flags,checkered flags,flags,Entailment1,1
3558438174,two scantily clad girls,two women,two scantily clad girls,Two women,Alternation,0
3558796959,asian tennis player,woman,An asian tennis player,a woman,Independence,4
3558796959,asian tennis player,tennis player,An asian tennis player,Tennis player,Entailment1,1
3559357704,rally car,red crosscountry vehicle,a rally car,A red crosscountry vehicle,Independence,4
3559357704,muddy part race course,roadway,a muddy part of the race course,a roadway,Independence,4
3559357704,onlookers,photographers,onlookers,photographers,Independence,4
3559357704,red race car,red truck,A red race car,A red truck,Alternation,0
3559374748,blue gray vehicle,car,The blue and gray vehicle,his car,Independence,4
3559694091,mini grill,small outdoor grill,a mini grill,a small outdoor grill,Equivalence,3
3559694091,short small barbecue,small outdoor grill,a short and small barbecue,a small outdoor grill,Independence,4
3559781965,brown dog,brown greyhound,A brown dog,A brown greyhound,Entailment2,2
3560125106,flaming hoop,flaming obstacle,a flaming hoop,a flaming obstacle,Independence,4
3560503470,dock,wood dock,a dock,a wood dock,Entailment2,2
3560503470,marina,waterside,a marina,the waterside,Entailment1,1
3560620846,guy,individual,A guy,individual,Entailment1,1
3560726559,well dressed young couple,young couple,A well dressed young couple,Young couple,Entailment1,1
3560771491,dandelion,dandelions,a dandelion,dandelions,Alternation,0
3560771491,grassy meadow,middle green field,a grassy meadow,the middle of a green field,Independence,4
3560965055,4 member band,four musicians,A 4 member band,Four musicians,Entailment1,1
3561314880,scruffy man,shabby looking man,A scruffy man,A shabby looking man,Equivalence,3
3561314880,homeless man,scruffy man,A homeless man,A scruffy man,Independence,4
3561314880,homeless man,shabby looking man,A homeless man,A shabby looking man,Independence,4
3561498139,bar stool,chair,a bar stool,a chair,Entailment1,1
3561498139,frilly green dress,green dress,a frilly green dress,a green dress,Entailment1,1
3561578941,field,sports field,the field,a sports field,Entailment2,2
3561635009,glacier,snow,a glacier,snow,Alternation,0
3561635009,group people,hikers,A group of people,Hikers,Entailment2,2
3561635009,7 people,people,7 people,People,Entailment1,1
3561734666,ball player,baseball player,A ball player,a baseball player,Entailment2,2
3562050678,mountains,scenic lookout,the mountains,a scenic lookout,Independence,4
3562169000,wall tires,white median bumpers,a wall of tires,white median bumpers,Independence,4
3562169000,blue race car,car,A blue race car,his car,Entailment1,1
3562470436,fenced area,field,a fenced area,a field,Independence,4
3563668905,dirt road,mountain trail,a dirt road,a mountain trail,Independence,4
3563668905,guy,painting man,A guy,A painting of a man,Entailment2,2
3563668905,biker,painting man,A biker,A painting of a man,Independence,4
3563673070,orange kayak,red kayak,orange kayak,a red kayak,Alternation,0
3563924606,two brown white puppies,two dogs,Two brown and white puppies,Two dogs,Entailment1,1
3563924606,blue strip fabric,piece cloth,a blue strip of fabric,a piece of cloth,Entailment1,1
3564312955,closeup young child,smiling toddler,A closeup of a young child,a smiling toddler,Alternation,0
3564312955,pink swimsuit,swimsuit,a pink swimsuit,swimsuit,Entailment1,1
3564312955,smiling toddler,young dark-haired girl,a smiling toddler,A young dark-haired girl,Independence,4
3564322601,bamboo fence,fence,a bamboo fence,a fence,Entailment1,1
3564322601,group children,two girls,A group of children,two girls,Alternation,0
3564322601,four young girls,two girls,Four young girls,two girls,Alternation,0
3564489441,bike,daughter \'s bike,a bike,daughter \'s bike,Entailment2,2
3564489441,little girl \'s bicycle,little girl \'s purple tricycle,a little girl \'s bicycle,a little girl \'s purple tricycle,Alternation,0
3564543247,hotel pool,inground pool,a hotel pool,an inground pool,Independence,4
3564548129,food truck,ice cream truck,a food truck,An ice cream truck,Entailment2,2
3564742915,two hikers,two mountain-climbing hikers,Two hikers,Two mountain-climbing hikers,Entailment2,2
3564783532,hand prints,handprints,hand prints,handprints,Equivalence,3
3564907603,group young adults,teens,A group of young adults,Teens,Independence,4
3564907603,highschoolers,teens,Highschoolers,Teens,Entailment1,1
3564907603,highschoolers,yound people,Highschoolers,Yound people,Independence,4
3565598162,fluffy skirts,puffy skirts,fluffy skirts,puffy skirts,Equivalence,3
3565654691,boulder,huge rock wall,a boulder,a huge rock wall,Independence,4
3565917449,city streets,middle road,city streets,the middle of a road,Independence,4
3566225740,line army vehicles,line military trucks,a line of Army vehicles,A line of military trucks,Independence,4
3566225740,army vehicles,convoy military trucks,Army vehicles,A convoy of military trucks,Entailment2,2
3567358622,two players,two young women,Two players,Two young women,Independence,4
3568065409,pink stick,sword,a pink stick,a sword,Alternation,0
3568197730,actor,pirate,An actor,a pirate,Independence,4
3568673111,glare,sun,a glare,the sun,Alternation,0
3568918598,pedestrian crosswalk,road,a pedestrian crosswalk,the road,Independence,4
3568918598,crosswalk,pedestrian crosswalk,a crosswalk,a pedestrian crosswalk,Entailment2,2
3569406219,empty city street,street,an empty city street,the street,Entailment1,1
3569406219,colorful outfit,japanese dress,a colorful outfit,Japanese dress,Independence,4
3569406219,japanese dress,kimono,Japanese dress,a kimono,Entailment2,2
3569416047,"long , red wall",red wall,"a long , red wall",a red wall,Entailment1,1
3569420080,purple accented hair female,woman,a purple accented hair female,a woman,Independence,4
3569420080,girl,near woman,a girl,near woman,Alternation,0
3569667295,black white dog,spotted black white dog,a black and white dog,A spotted black and white dog,Entailment2,2
3570800810,melted snow,water,melted snow,the water,Entailment1,1
3571081528,4 girls,four young women,4 girls,Four young women,Alternation,0
3571147934,peoople,teenagers,Peoople,Teenagers,Entailment2,2
3571147934,kids,peoople,Kids,Peoople,Entailment1,1
3571147934,peoople,some school kids,Peoople,some school kids,Entailment2,2
3571193625,dog,tan dog,A dog,a tan dog,Entailment2,2
3571193625,dog,yellow dog,A dog,The yellow dog,Entailment2,2
3571193625,german shepherd,large yellow dog,A German Shepherd,A large yellow dog,Independence,4
3571220254,busking street performer,man,a busking street performer,A man,Independence,4
3572056273,9 people,young people,9 people,young people,Independence,4
3572144280,rock wall,some rocks,a rock wall,some rocks,Alternation,0
3572144280,large brown boulder,rock ledge,a large brown boulder,a rock ledge,Independence,4
3572144280,rock ledge,some rocks,a rock ledge,some rocks,Entailment1,1
3572267708,three young girls,women,Three young girls,Women,Alternation,0
3572267708,three girls,women,Three girls,Women,Alternation,0
3572743540,one woman,third female,one woman,a third female,Independence,4
3572743540,another guy,second male player,another guy,a second male player,Independence,4
3572743540,girl,third female,a girl,a third female,Independence,4
3573202338,gymnastics,one shows flexibility,gymnastics,one shows of her flexibility,Entailment1,1
3573436368,bridge,suspended bridge,a bridge,a suspended bridge,Entailment2,2
3573436368,bridge,concrete bridge,a bridge,concrete bridge,Entailment2,2
3574378184,baby,"small , smiling baby",a baby,"a small , smiling baby",Entailment2,2
3574627719,three young men,young people,Three young men,Young people,Entailment1,1
3574627719,group young men,young people,a group of young men,Young people,Entailment1,1
3575330012,male baseball player,red sox outfielder,male baseball player,The Red Sox outfielder,Entailment2,2
3575971480,city,european city,a city,a European city,Entailment2,2
3576387257,casually-dressed woman,girl,A casually-dressed woman,A girl,Alternation,0
3576401807,young black-haired girl,young female,A young black-haired girl,A young female,Entailment1,1
3576401807,large insect,orange butterfly,a large insect,an orange butterfly,Independence,4
3576536763,small waves,wave,the small waves,a wave,Alternation,0
3577309234,gray bird,gray-blue bird,A gray bird,Gray-blue bird,Entailment2,2
3577744721,two empty bottles,two green wine bottles,two empty bottles,two green wine bottles,Independence,4
3577744721,bottle,two empty bottles,the bottle,two empty bottles,Alternation,0
3577868513,baby,walker,A baby,a walker,Alternation,0
